order_id,First Name,Last Name,Middle Initial,Gender,E-Mail,Phone No,City,County,cust_id,ref_num,category,price,quantity_ordered,total,payment_method,status,anomaly_score
100354678,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Men's Fashion,89.9,21,1798.0,cod,received,-1
100354678,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Men's Fashion,19.0,11,190.0,cod,received,1
100354680,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Men's Fashion,149.9,9,1199.2,cod,complete,-1
100354680,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Men's Fashion,79.9,9,639.2,cod,complete,-1
100367357,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Men's Fashion,99.9,2,99.9,cod,received,1
100367357,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Men's Fashion,39.9,2,39.9,cod,received,1
100367360,Jani,Titus,W,F,jani.titus@gmail.com,4059591129,Vinson,Harmon,60124,987867,Mobiles & Tablets,47.6,2,47.6,cod,order_refunded,1
100354677,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Mobiles & Tablets,49.0,2,49.0,Payaxis,canceled,1
100354677,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Computing,135.0,2,135.0,Payaxis,canceled,1
100354677,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,549.9,2,549.9,Payaxis,canceled,1
100356116,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,549.9,1,0.0,Payaxis,order_refunded,1
100358724,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,549.9,1,0.0,cod,order_refunded,1
100403034,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,254.8,2,214.99372,Easypay,canceled,1
100403034,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,315.5,2,266.21083,Easypay,canceled,1
100403034,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Home & Living,69.8,2,58.89545,Easypay,canceled,1
100403077,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,254.8,2,214.99372,Easypay,canceled,1
100403077,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,315.5,2,266.21083,Easypay,canceled,1
100403077,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Home & Living,69.8,2,58.89545,Easypay,canceled,1
100403411,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,254.8,2,214.99372,Easypay,canceled,1
100403411,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,315.5,2,266.21083,Easypay,canceled,1
100403411,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Home & Living,69.8,2,58.89545,Easypay,canceled,1
100403502,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,254.8,2,214.99372,Easypay,canceled,1
100403502,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,315.5,2,266.21083,Easypay,canceled,1
100403502,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Home & Living,69.8,2,58.89545,Easypay,canceled,1
100403536,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,254.8,3,407.68,Easypay,complete,1
100403536,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Appliances,315.5,3,504.8,Easypay,complete,1
100403536,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Home & Living,69.8,3,111.68,Easypay,complete,1
100422764,Lee,Eaker,S,M,lee.eaker@gmail.com,2393356755,Graham,Bradford,42485,171143,Home & Living,499.8,3,799.68,Easypay,complete,1
100354679,Jason,Simoneau,G,M,jason.simoneau@gmail.com,7015226439,Grand Forks,Grand Forks,53620,650142,Appliances,166.5,2,166.5,cod,canceled,1
